date,close,open,high,low,volume,amount
2025-12-12,156493.61901701702,154274.05866240506,156493.61901701702,154274.05866240506,573947130.0,909950905.4609
2025-12-15,154911.98278726733,156493.61901701702,156493.61901701702,154911.98278726733,500922790.0,764604815.504
2025-12-16,151947.3029788325,154911.98278726733,154911.98278726733,151947.3029788325,512494827.0,733294004.0204
2025-12-17,153558.79509115056,151947.3029788325,153558.79509115056,151947.3029788325,512313692.0,766820526.3426
2025-12-18,152123.69576196437,153558.79509115056,153558.79509115056,152123.69576196437,461172625.0,704895595.1791
2025-12-19,153391.90634811026,152123.69576196437,153391.90634811026,152123.69576196437,513511893.0,738066004.8156
2025-12-22,155037.21892147706,153391.90634811026,155037.21892147706,153391.90634811026,522938992.0,789756386.7523
2025-12-23,155080.39759574804,155037.21892147706,155080.39759574804,155037.21892147706,521156952.0,806853443.041
2025-12-24,157326.89167635152,155080.39759574804,157326.89167635152,155080.39759574804,474896447.0,773928624.4676
2025-12-25,158733.423647135,157326.89167635152,158733.423647135,157326.89167635152,469313093.0,785018650.0911
2025-12-26,161024.51268887927,158733.423647135,161024.51268887927,158733.423647135,555489592.0,893644363.9347
2025-12-29,161903.03702995952,161024.51268887927,161903.03702995952,161024.51268887927,563687197.0,903819726.7646
2025-12-30,162437.87789554268,161903.03702995952,162437.87789554268,161903.03702995952,525932588.0,887533318.5884
2025-12-31,162773.48889394727,162437.87789554268,162773.48889394727,162437.87789554268,490751490.0,829511897.4949
2026-01-05,169270.97074951744,162773.48889394727,169270.97074951744,162773.48889394727,596950455.0,1067334169.2015
2026-01-06,177317.55070479616,169270.97074951744,177317.55070479616,169270.97074951744,702472270.0,1175768705.035
2026-01-07,183426.79558162155,177317.55070479616,183426.79558162155,177317.55070479616,683384352.0,1197422798.2767
2026-01-08,189683.54962378382,183426.79558162155,189683.54962378382,183426.79558162155,666131337.0,1183188755.9514
2026-01-09,198670.89830427212,189683.54962378382,198670.89830427212,189683.54962378382,729837985.0,1289205972.2632
2026-01-12,213023.9562009446,198670.89830427212,213023.9562009446,198670.89830427212,839456089.0,1446230122.0053
2026-01-13,217935.88454941695,213023.9562009446,217935.88454941695,213023.9562009446,868382717.0,1481574218.6134
2026-01-14,229931.926663762,217935.88454941695,229931.926663762,217935.88454941695,952551289.0,1607041237.7679
2026-01-15,230180.5892124108,229931.926663762,230180.5892124108,229931.926663762,680250791.0,1175915097.3961
2026-01-16,232062.92090626803,230180.5892124108,232062.92090626803,230180.5892124108,763588465.0,1338017280.024
2026-01-19,232710.98436921256,232062.92090626803,232710.98436921256,232062.92090626803,688905870.0,1190137813.599
2026-01-20,230966.07007477526,232710.98436921256,232710.98436921256,230966.07007477526,734362496.0,1221485626.2085
2026-01-21,231667.2681380586,230966.07007477526,231667.2681380586,230966.07007477526,666989507.0,1180184557.0062
2026-01-22,233209.77952224464,231667.2681380586,233209.77952224464,231667.2681380586,709695409.0,1201764210.2374
2026-01-23,240113.16990548593,233209.77952224464,240113.16990548593,233209.77952224464,782115454.0,1336857054.8376
2026-01-26,240890.444131591,240113.16990548593,240890.444131591,240113.16990548593,887439731.0,1451859840.0273
2026-01-27,242669.36177022805,240890.444131591,242669.36177022805,240890.444131591,754990869.0,1289432378.9454
2026-01-28,243452.67099786538,242669.36177022805,243452.67099786538,242669.36177022805,823026748.0,1365526057.112
2026-01-29,244371.26480237988,243452.67099786538,244371.26480237988,243452.67099786538,905908371.0,1485795395.4162
2026-01-30,242277.0191737275,244371.26480237988,244371.26480237988,242277.0191737275,804342746.0,1269855689.0279
2026-02-02,232663.01168296745,242277.0191737275,242277.0191737275,232663.01168296745,732953698.0,1163532654.1618
2026-02-03,235374.87229790952,232663.01168296745,235374.87229790952,232663.01168296745,637684249.0,1110720213.0163
2026-02-04,233125.54447876854,235374.87229790952,235374.87229790952,233125.54447876854,674254244.0,1063544769.9283
2026-02-05,225398.51785638492,233125.54447876854,233125.54447876854,225398.51785638492,596722236.0,946988891.2706
2026-02-06,221225.50249156362,225398.51785638492,225398.51785638492,221225.50249156362,556709801.0,898655032.959
2026-02-09,221961.06820710227,221225.50249156362,221961.06820710227,221225.50249156362,572632582.0,949726335.9658
2026-02-10,217542.7928557412,221961.06820710227,221961.06820710227,217542.7928557412,524620969.0,882201747.0438
2026-02-11,212267.85211555613,217542.7928557412,217542.7928557412,212267.85211555613,500685278.0,822607547.2508
2026-02-12,209377.7039266134,212267.85211555613,212267.85211555613,209377.7039266134,529370116.0,897955034.8388
2026-02-13,203261.06371445916,209377.7039266134,209377.7039266134,203261.06371445916,500799472.0,846808337.4621
2026-02-24,203626.1238939259,203261.06371445916,203626.1238939259,203261.06371445916,566322249.0,938611375.9998
2026-02-25,206694.2082357568,203626.1238939259,206694.2082357568,203626.1238939259,724787214.0,1085969561.1741
2026-02-26,208276.40482951986,206694.2082357568,208276.40482951986,206694.2082357568,651702826.0,1067198717.4341
2026-02-27,209708.43922127964,208276.40482951986,209708.43922127964,208276.40482951986,682047646.0,1072367831.6098
2026-03-02,211533.4910118474,209708.43922127964,211533.4910118474,209708.43922127964,861579218.0,1345892469.3952
2026-03-03,208882.75701921928,211533.4910118474,211533.4910118474,208882.75701921928,921139170.0,1425790202.3362
2026-03-04,206979.21467972914,208882.75701921928,208882.75701921928,206979.21467972914,765169531.0,1113081986.0775
2026-03-05,207631.5772976222,206979.21467972914,207631.5772976222,206979.21467972914,689746535.0,1068043734.805
2026-03-06,207224.80708997144,207631.5772976222,207631.5772976222,207224.80708997144,646765760.0,978805927.0539
2026-03-09,206851.42818270097,207224.80708997144,207224.80708997144,206851.42818270097,797803556.0,1194106193.2084
2026-03-10,208908.08860929377,206851.42818270097,208908.08860929377,206851.42818270097,674922194.0,1036427205.2934
2026-03-11,208661.61135501633,208908.08860929377,208908.08860929377,208661.61135501633,707727169.0,1063600874.3943
2026-03-12,206768.02463916934,208661.61135501633,208661.61135501633,206768.02463916934,786151182.0,1078215329.7731
2026-03-13,204099.55003816896,206768.02463916934,206768.02463916934,204099.55003816896,792054764.0,1063918169.3964
2026-03-16,203255.65347856068,204099.55003816896,204099.55003816896,203255.65347856068,732227098.0,1037223833.9626
2026-03-17,197467.15234350294,203255.65347856068,203255.65347856068,197467.15234350294,678771224.0,951228129.2607
2026-03-18,196615.18949193403,197467.15234350294,197467.15234350294,196615.18949193403,623873102.0,876327491.3596
2026-03-19,189808.39261730516,196615.18949193403,196615.18949193403,189808.39261730516,667255422.0,935264956.1067
2026-03-20,185760.6176833791,189808.39261730516,189808.39261730516,185760.6176833791,666798387.0,964863108.6287
2026-03-23,179116.4632894387,185760.6176833791,185760.6176833791,179116.4632894387,804738850.0,1086248286.0136
2026-03-24,183791.12033448933,179116.4632894387,183791.12033448933,179116.4632894387,680622039.0,931418842.7114
2026-03-25,186437.6446380612,183791.12033448933,186437.6446380612,183791.12033448933,688343626.0,967854261.2445
2026-03-26,181526.33000958525,186437.6446380612,186437.6446380612,181526.33000958525,615973981.0,848361335.0723
2026-03-27,181291.92358295058,181526.33000958525,181526.33000958525,181291.92358295058,561342963.0,799696430.8856
2026-03-30,179479.6045500279,181291.92358295058,181291.92358295058,179479.6045500279,595589479.0,839822434.6653
2026-03-31,174860.8649750679,179479.6045500279,179479.6045500279,174860.8649750679,606704983.0,891945339.5537
2026-04-01,175868.9736557115,174860.8649750679,175868.9736557115,174860.8649750679,564611598.0,897278213.909
2026-04-02,171047.396445839,175868.9736557115,175868.9736557115,171047.396445839,544212835.0,811896566.9717
2026-04-03,164767.39695962192,171047.396445839,171047.396445839,164767.39695962192,492699082.0,713830332.0601
2026-04-07,163631.87754748046,164767.39695962192,164767.39695962192,163631.87754748046,473615076.0,723905837.2612
2026-04-08,172380.60813981033,163631.87754748046,172380.60813981033,163631.87754748046,644135352.0,1074211701.2704
2026-04-09,170902.10230997222,172380.60813981033,172380.60813981033,170902.10230997222,541569801.0,902481840.1008
2026-04-10,173271.4629541948,170902.10230997222,173271.4629541948,170902.10230997222,546415541.0,955664107.2136
2026-04-13,173459.82434239046,173271.4629541948,173459.82434239046,173271.4629541948,545781768.0,919436481.788
2026-04-14,176591.46564282945,173459.82434239046,176591.46564282945,173459.82434239046,570259003.0,998435132.0197
2026-04-15,176571.5173578691,176591.46564282945,176591.46564282945,176571.5173578691,569458589.0,1028851871.4524
2026-04-16,179770.91932621034,176571.5173578691,179770.91932621034,176571.5173578691,545876967.0,976565489.6545
2026-04-17,181886.7814953281,179770.91932621034,181886.7814953281,179770.91932621034,548791406.0,1013520660.2311
2026-04-20,184859.1096579154,181886.7814953281,184859.1096579154,181886.7814953281,589841379.0,1084578006.427
2026-04-21,185409.36944589557,184859.1096579154,185409.36944589557,184859.1096579154,576689450.0,1033349016.2144
2026-04-22,188823.10461176062,185409.36944589557,188823.10461176062,185409.36944589557,582466346.0,1093625892.3736
2026-04-23,189183.7544813519,188823.10461176062,189183.7544813519,188823.10461176062,671166092.0,1234396207.6192
2026-04-24,189669.10985094937,189183.7544813519,189669.10985094937,189183.7544813519,605031798.0,1143000195.131
2026-04-27,192865.56451969335,189669.10985094937,192865.56451969335,189669.10985094937,589950867.0,1136051921.7098
2026-04-28,191496.25364332582,192865.56451969335,192865.56451969335,191496.25364332582,600507498.0,1113955561.9355
